governorate,avg_solar_radiation,avg_peak_sun_hours,avg_temp_max,avg_wind_speed,avg_humidity,hot_days_pct,avg_clearness,avg_temp_penalty,avg_aqi,avg_pm25,avg_pm10,dust_storm_days,avg_pollution_penalty,score_ghi,score_clearness,score_temp,score_wind,score_humidity,score_air,solar_site_score,rank,grade,investment_reco
Matrouh,5.164264233100841,5.164264233100841,22.152711730348013,4.551818568994889,71.88227305913848,0.0,0.8650324946222541,0.31736614748113895,2.029367844698855,17.259728569671974,26.59642082525112,2,2.571373817819811,0.0,0.0,97.4919645387354,100.0,6.383595739351293,100.0,39.94,21,D,Not Recommended
Minya,6.11415652825761,6.11415652825761,30.461182161109758,3.0309637381357994,39.32834205402774,0.08414456072036992,0.9638754253308129,2.6942291311754683,3.7084370333499255,37.28923732119213,57.53370496665007,7,5.56115355898457,72.03239954304152,88.71905743562952,32.5836991764383,25.6070652659147,72.71327497779926,29.418841868494,58.45,11,C,Neutral
Monufia,5.7577025682810765,5.7577025682810765,30.67234606960331,2.6461103674860063,53.588341445607206,0.11152348503285471,0.930284766312496,2.763116938427841,3.0326032852165254,27.56045287303385,41.38137051142359,6,4.111536834245893,45.00172017587032,58.5688829579655,30.934023327958116,6.781881491622259,43.65806854403753,57.82811110529895,43.64,17,D,Not Recommended
New Valley,6.4828675444886255,6.4828675444886255,30.32848259917255,3.0717698953516672,31.738067047943538,0.07538330494037479,0.9764436542598266,2.672358238014115,4.408287705326033,57.73526653092708,116.46328754886758,22,8.605484071677452,99.9925581552241,100.0,33.62038799316569,27.603107050385407,88.17870391190047,0.0,67.21,5,B,Recommended
North Sinai,5.9393307476696435,5.9393307476696435,26.991977975176443,2.6832903382818203,59.68819542467754,0.00687515210513507,0.9398389022879865,1.743745436845948,2.3041314086610254,19.61986850972636,30.127169902635014,2,2.934336734693878,58.77498021040219,67.14444756618848,59.6861637965003,8.600547602749902,31.229420287408047,88.45007061777474,58.64,10,C,Neutral
Port Said,5.306010794602699,5.306010794602699,21.831674981747383,4.34554818690679,75.01527683134583,0.0,0.9020206179518937,0.204085543927963,2.4715032354405175,22.889267548316326,32.46731983786287,4,3.369113987058238,10.74895017468168,33.199657422079,100.0,89.91024076664382,0.0,81.41444787362033,46.61,15,D,Not Recommended
Qalyubia,5.675692373378529,5.675692373378529,30.67234606960331,2.6461103674860063,53.588341445607206,0.11152348503285471,0.9226130239228212,2.763116938427841,3.0326032852165254,27.56045287303385,41.38137051142359,6,4.111536834245893,38.7827086564137,51.682909941769005,30.934023327958116,6.781881491622259,43.65806854403753,57.82811110529895,40.09,20,D,Not Recommended
Qena,6.295181891662864,6.295181891662864,33.25928084692139,2.7747815770260402,29.264799221221708,0.25091263081041615,0.9706951567694414,3.568074957410562,3.1189646590343454,26.822028811689023,42.07550937777103,1,4.016348929815829,85.75994672993549,94.84028574059778,10.724112201666458,13.075860837475057,93.21806648815823,54.19783438824083,64.69,6,B,Recommended
Red Sea,6.2172573821784765,6.2172573821784765,29.648254441469945,4.1479240691165735,43.027960574348995,0.006327573618885374,0.9682155530930187,2.28175407641762,2.407789945246391,19.9263260720056,30.907279824222996,0,2.9876642608262816,79.85076162548262,92.61465261327997,38.93453457826933,80.24341537454242,65.17518350371569,84.09269236804938,76.21,1,A,Strongly Recommended
Sharqia,5.675692373378529,5.675692373378529,30.458014723777076,2.507464711608664,53.49297335118034,0.0995984424434169,0.9226130239228212,2.694784619128742,3.42284718765555,31.80007206616476,47.21266842379045,3,4.748398456943753,38.7827086564137,51.682909941769005,32.60844414780473,0.0,43.85238409726282,41.42386357692105,37.21,24,D,Not Recommended
